Rank,University,Name,times_Rank
152,,Université Paris Cité,152
155,,University of Arizona,155
155,,University of Bologna,155
155,,Lancaster University,155
158,,Huazhong University of Science and Technology,158
158,,University of Waterloo,158
160,,University of Cologne,160
161,,University of Antwerp,161
161,,Dartmouth College,161
161,,TU Dresden,161
164,,Case Western Reserve University,164
164,,Wuhan University,164
166,,University of Virginia (Main campus),166
167,,University of Cape Town,167
168,,Université Catholique de Louvain,168
168,,Eindhoven University of Technology,168
168,,Harbin Institute of Technology,168
168,,University of Liverpool,168
168,,Newcastle University,168
168,,Scuola Normale Superiore di Pisa,168
174,,Durham University,174
175,,Osaka University,175
175,,University of Würzburg,175
177,,Beijing Normal University,177
177,,University of Exeter,177
177,,University of Ottawa,177
180,,Macquarie University,180
181,,Sapienza University of Rome,181
182,,Arizona State University (Tempe),182
183,,University of Geneva,183
184,,University of Twente,184
185,,Stockholm University,185
185,,Tongji University,185
187,,Georgetown University,187
187,,University of Mannheim,187
189,,Chalmers University of Technology,189
190,,Cardiff University,190
191,,Tokyo Institute of Technology,191
191,,Tufts University,191
193,,University of Erlangen-Nuremberg,193
193,,University of Macau,193
193,,University of Münster,193
193,,University of St Andrews,193
193,,Ulm University,193
198,,Indiana University,198
199,,University of Notre Dame,199
199,,Queensland University of Technology,199
199,,Ulsan National Institute of Science and Technology (UNIST),199
201-250,,Aalborg University,201-250
201-250,,Aalto University,201-250
201-250,,University of Aberdeen,201-250
201-250,,Autonomous University of Barcelona,201-250
201-250,,University of Calgary,201-250
201-250,,"University of California, Santa Cruz",201-250
201-250,,Curtin University,201-250
201-250,,Friedrich Schiller University Jena,201-250
201-250,,George Washington University,201-250
201-250,,Goethe University Frankfurt,201-250
201-250,,University of Gothenburg,201-250
201-250,,University of Hawai’i at Mānoa,201-250
201-250,,University of Illinois Chicago,201-250
201-250,,Indian Institute of Science,201-250
201-250,,University of Iowa,201-250
201-250,,King Fahd University of Petroleum and Minerals,201-250
201-250,,Korea University,201-250
201-250,,University of Leicester,201-250
201-250,,Université Libre de Bruxelles,201-250
201-250,,University of Luxembourg,201-250
201-250,,Medical University of Graz,201-250
201-250,,Medical University of Vienna,201-250
201-250,,University of Miami,201-250
201-250,,Moscow Institute of Physics and Technology (MIPT),201-250
201-250,,Nagoya University,201-250
201-250,,University of Newcastle,201-250
201-250,,"Northeastern University, US",201-250
201-250,,University of Padua,201-250
201-250,,Politecnico di Milano,201-250
201-250,,Pompeu Fabra University,201-250
201-250,,University of Potsdam,201-250
201-250,,Queen’s University Belfast,201-250
201-250,,University of Reading,201-250
201-250,,Rutgers University - New Brunswick,201-250
201-250,,Sant’Anna School of Advanced Studies - Pisa,201-250
201-250,,University of São Paulo,201-250
201-250,,Southern University of Science and Technology (SUSTech),201-250
201-250,,Sun Yat-sen University,201-250
201-250,,University of Sussex,201-250
201-250,,Swinburne University of Technology,201-250
201-250,,Tel Aviv University,201-250
201-250,,Tianjin University,201-250
201-250,,Tilburg University,201-250
201-250,,University College Dublin,201-250
201-250,,University of Utah,201-250
201-250,,Vrije Universiteit Brussel,201-250
201-250,,Western University,201-250
201-250,,University of Wollongong,201-250
251-300,,Abu Dhabi University,251-300
251-300,,University of Bath,251-300
251-300,,Beijing Institute of Technology,251-300
251-300,,University of Bergen,251-300
251-300,,Boston College,251-300
251-300,,Brandeis University,251-300
251-300,,"University of California, Riverside",251-300
251-300,,Deakin University,251-300
251-300,,University of East Anglia,251-300
251-300,,École Normale Supérieure de Lyon,251-300
251-300,,Florida State University,251-300
251-300,,Griffith University,251-300
251-300,,Heinrich Heine University Düsseldorf,251-300
251-300,,University of Hohenheim,251-300
251-300,,Humanitas University,251-300
251-300,,Johannes Gutenberg University of Mainz,251-300
251-300,,Khalifa University,251-300
251-300,,King Abdulaziz University,251-300
251-300,,University of Konstanz,251-300
251-300,,Kyung Hee University,251-300
251-300,,Lappeenranta-Lahti University of Technology LUT,251-300
251-300,,La Trobe University,251-300
251-300,,Université Laval,251-300
251-300,,Linköping University,251-300
251-300,,Loughborough University,251-300
251-300,,Macau University of Science and Technology,251-300
251-300,,University of Malaya,251-300
251-300,,Medical University of Innsbruck,251-300
251-300,,Nankai University,251-300
251-300,,North Carolina State University,251-300
251-300,,University of Oulu,251-300
251-300,,Qatar University,251-300
251-300,,Queen’s University,251-300
251-300,,RCSI University of Medicine and Health Sciences,251-300
251-300,,RMIT University,251-300
251-300,,Ruhr University Bochum,251-300
251-300,,Sejong University,251-300
251-300,,Semmelweis University,251-300
251-300,,Simon Fraser University,251-300
251-300,,South China University of Technology,251-300
251-300,,University of Southern Denmark,251-300
251-300,,University of South Florida,251-300
251-300,,Stony Brook University,251-300
251-300,,University of Stuttgart,251-300
251-300,,University of Surrey,251-300
251-300,,Università della Svizzera italiana,251-300
251-300,,Swansea University,251-300
251-300,,University of Tasmania,251-300
251-300,,Technical University of Darmstadt,251-300
251-300,,TU Wien,251-300
251-300,,Virginia Polytechnic Institute and State University,251-300
251-300,,Vita-Salute San Raffaele University,251-300
251-300,,Xi’an Jiaotong University,251-300
301-350,,Beihang University,301-350
301-350,,"Birkbeck, University of London",301-350
301-350,,University of Bremen,301-350
301-350,,University at Buffalo,301-350
301-350,,Università Cattolica del Sacro Cuore,301-350
301-350,,"China Medical University, Taiwan",301-350
301-350,,Copenhagen Business School,301-350
301-350,,Dalhousie University,301-350
301-350,,Drexel University,301-350
301-350,,University of Dundee,301-350
301-350,,East China Normal University,301-350
301-350,,University of Essex,301-350
301-350,,Flinders University,301-350
301-350,,University of Galway,301-350
301-350,,Université Grenoble Alpes,301-350
301-350,,Hanyang University,301-350
301-350,,Hebrew University of Jerusalem,301-350
301-350,,Hong Kong Baptist University,301-350
301-350,,University of Innsbruck,301-350
301-350,,University of Kiel,301-350
301-350,,Kyushu University,301-350
301-350,,University of Liège,301-350
301-350,,Montpellier University,301-350
